"Time","Length","Info"
"28.001731","110","Application Data"
"28.155728","1434","443  >  51405 [ACK] Seq=231197 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"28.155728","110","Application Data"
"28.364054","1434","443  >  51405 [ACK] Seq=232633 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"28.364203","110","Application Data"
"28.473164","1434","443  >  51405 [ACK] Seq=234069 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"28.473165","110","Application Data"
"28.670670","1434","443  >  51405 [ACK] Seq=235505 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"28.670671","110","Application Data"
"28.884389","1434","443  >  51405 [ACK] Seq=236941 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"28.884391","110","Application Data"
"29.040990","1434","443  >  51405 [ACK] Seq=238377 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"29.041152","110","Application Data"
"29.201862","1434","443  >  51405 [ACK] Seq=239813 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"29.201863","110","Application Data"
"29.409982","1434","443  >  51405 [ACK] Seq=241249 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"29.409983","110","Application Data"
"29.566187","1434","443  >  51405 [ACK] Seq=242685 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"29.566188","110","Application Data"
"29.770512","1434","443  >  51405 [ACK] Seq=244121 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"29.770513","110","Application Data"
"29.875895","1434","443  >  51405 [ACK] Seq=245557 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"29.876022","110","Application Data"
"30.070263","1434","443  >  51405 [ACK] Seq=246993 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"30.073336","110","Application Data"
"30.273913","1434","443  >  51405 [ACK] Seq=248429 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"30.274063","110","Application Data"
"30.445159","1434","443  >  51405 [ACK] Seq=249865 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"30.446177","110","Application Data"
"30.643773","1434","443  >  51405 [ACK] Seq=251301 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"30.643774","110","Application Data"
"30.753749","1434","443  >  51405 [ACK] Seq=252737 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"30.754111","110","Application Data"
"30.965977","1434","443  >  51405 [ACK] Seq=254173 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"30.966156","110","Application Data"
"31.159402","1434","443  >  51405 [ACK] Seq=255609 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"31.159566","110","Application Data"
"31.320835","1434","443  >  51405 [ACK] Seq=257045 Ack=1 Win=501 Len=1380 [TCP segment of a reassembled PDU]"
"31.320835","110","Application Data"
